"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",287278295.058284,1,71.9285704933626,4.62883621142195e-17
"strategy",59287954.1665773,2,7.42224154075531,0.000616557009045706
"rot",16860008.7343874,3,1.40713302238172,0.238908444714777
"l_length",43480002.8918772,4,2.7216243855331,0.0281911240567687
"pres_rate",9932384.28333759,1,2.48686453303502,0.114978521575683
"strategy:rot",527170819.008667,6,21.9987865827777,4.41169778656166e-25
"strategy:l_length",177772578.676855,8,5.56382420683347,5.60233982222595e-07
"strategy:pres_rate",36050707.9371233,2,4.51317752123409,0.0110897448193479
"rot:l_length",11995987.9746351,12,0.250295700926522,0.995476861020516
"rot:pres_rate",5166337.16685867,3,0.431181486722344,0.730692011189881
"Residuals",7085247099.14015,1774,NA,NA
