strategy,condition,l_length,pres_rate,t_stat,p_val,dof,p_val_fdr
ns,10-2,10.0,2000.0,3.2894003971804597,0.0036644272561441897,20,0.038422707914736925
ns,15-2,15.0,2000.0,2.9270286065891655,0.006357367026174369,31,0.05708041089696528
ns,20-1,20.0,1000.0,3.4109216881295046,0.0025051384712694315,22,0.03152062694856295
ns,20-2,20.0,2000.0,1.1794387495574346,0.2535781596369867,18,1.0
ns,30-1,30.0,1000.0,1.0131769398863075,0.3225076908119199,21,1.0
ns,40-1,40.0,1000.0,0.7874323840435049,0.44074182093135184,19,1.0
prim,10-2,10.0,2000.0,0.9990605530218694,0.3263215550263061,28,1.0
prim,15-2,15.0,2000.0,0.2761689452666493,0.7839147864301139,38,1.0
prim,20-1,20.0,1000.0,1.570772743588982,0.12989195249709085,23,0.680979618697911
prim,20-2,20.0,2000.0,0.8046331895162203,0.42715953118423045,31,1.0
prim,30-1,30.0,1000.0,1.745316822813783,0.09372235188546543,24,0.5360232259349146
prim,40-1,40.0,1000.0,1.9165937443556385,0.06678888461334526,25,0.46462879303861526
rec,10-2,10.0,2000.0,3.0063792314295346,0.0072584512244480625,19,0.05708041089696528
rec,15-2,15.0,2000.0,1.8814032747814133,0.07385382696860245,21,0.46462879303861526
rec,20-1,20.0,1000.0,3.449809352089633,0.00217859021813153,23,0.03152062694856295
rec,20-2,20.0,2000.0,5.594442753671108,1.0810975304806804e-05,23,0.00022671316272606667
rec,30-1,30.0,1000.0,6.168223336322648,1.1652429837943164e-06,28,3.665385149148982e-05
rec,40-1,40.0,1000.0,6.9513904879898805,2.2176935777393713e-07,26,1.3951941729337731e-05
